Author,User Rating,Percent,Author-t
Abraham Verghese,9.2,0.014153846153846152,Malo
Adam Gasiewski,4.4,0.00676923076923077,Malo
Adam Mansbach,4.8,0.0073846153846153844,Malo
Adam Silvera,4.6,0.007076923076923076,Malo
Adam Wallace,14.399999999999999,0.022153846153846152,Malo
Adir Levy,9.6,0.014769230769230769,Malo
Admiral William H. McRaven,4.7,0.007230769230769231,Malo
Adult Coloring Book Designs,4.5,0.006923076923076923,Malo
Alan Moore,4.8,0.0073846153846153844,Malo
Alex Michaelides,9.0,0.013846153846153847,Malo
Alice Schertle,4.9,0.007538461538461539,Malo
Allie Brosh,4.7,0.007230769230769231,Malo
Amanda Gorman,9.7,0.014923076923076923,Malo
Amelia Hepworth,9.8,0.015076923076923078,Malo
American Psychiatric Association,9.0,0.013846153846153847,Malo
American Psychological Association,49.8,0.07661538461538461,Malo
Amor Towles,4.7,0.007230769230769231,Malo
Amy Ramos,8.6,0.01323076923076923,Malo
Amy Shields,4.8,0.0073846153846153844,Malo
Andy Weir,4.7,0.007230769230769231,Malo
Angie Grace,4.6,0.007076923076923076,Malo
Angie Thomas,4.8,0.0073846153846153844,Malo
Ann Voskamp,9.2,0.014153846153846152,Malo
Ann Whitford Paul,18.9,0.029076923076923073,Malo
Anthony Bourdain,4.8,0.0073846153846153844,Malo
Anthony Doerr,9.2,0.014153846153846152,Malo
Atul Gawande,4.8,0.0073846153846153844,Malo
Audrey Niffenegger,4.4,0.00676923076923077,Malo
B. J. Novak,9.6,0.014769230769230769,Malo
Barack Obama,4.9,0.007538461538461539,Malo
Bessel van der Kolk M.D.,14.399999999999999,0.022153846153846152,Malo
Bill Martin Jr.,24.5,0.03769230769230769,Malo
Bill O'Reilly,32.5,0.05,Malo
Bill Simmons,4.7,0.007230769230769231,Malo
Blue Star Coloring,9.0,0.013846153846153847,Malo
Bob Woodward,9.100000000000001,0.014000000000000002,Malo
"Bob Woodward, Robert Costa",4.6,0.007076923076923076,Malo
Brandon Stanton,14.5,0.022307692307692306,Malo
Brene???? Brown,4.8,0.0073846153846153844,Malo
Brené Brown,4.8,0.0073846153846153844,Malo
Brian Kilmeade,4.6,0.007076923076923076,Malo
Brit Bennett,4.4,0.00676923076923077,Malo
Bruce Springsteen,4.7,0.007230769230769231,Malo
Carol S. Dweck,13.799999999999999,0.02123076923076923,Malo
Carole P. Roman,4.7,0.007230769230769231,Malo
Celeste Ng,9.0,0.013846153846153847,Malo
Charlaine Harris,17.8,0.027384615384615386,Malo
Charles Duhigg,4.6,0.007076923076923076,Malo
Charles Krauthammer,4.7,0.007230769230769231,Malo
Charlie Mackesy,9.7,0.014923076923076923,Malo
Cheryl Strayed,4.4,0.00676923076923077,Malo
Chip Gaines,4.9,0.007538461538461539,Malo
Chip Heath,4.6,0.007076923076923076,Malo
Chris Cleave,4.1,0.0063076923076923076,Malo
Chris Kyle,4.6,0.007076923076923076,Malo
Chrissy Teigen,4.7,0.007230769230769231,Malo
Christina Baker Kline,4.6,0.007076923076923076,Malo
Christopher Paolini,4.6,0.007076923076923076,Malo
Colleen Hoover,4.7,0.007230769230769231,Malo
Coloring Books for Adults,4.5,0.006923076923076923,Malo
Conor Riordan,4.0,0.006153846153846154,Malo
Craig Smith,14.399999999999999,0.022153846153846152,Malo
Crispin Boyer,4.8,0.0073846153846153844,Malo
Crystal Radke,9.6,0.014769230769230769,Malo
DK,9.1,0.014,Malo
Dale Carnegie,28.200000000000003,0.04338461538461539,Malo
Dan Brown,12.6,0.019384615384615386,Malo
Daniel H. Pink,4.5,0.006923076923076923,Malo
Daniel James Brown,9.6,0.014769230769230769,Malo
Daniel Kahneman,9.2,0.014153846153846152,Malo
Daniel Lipkowitz,8.8,0.01353846153846154,Malo
Dav Pilkey,44.1,0.06784615384615385,Malo
Dave Grohl,4.8,0.0073846153846153844,Malo
Dave Ramsey,4.7,0.007230769230769231,Malo
David Goggins,4.8,0.0073846153846153844,Malo
David Grann,4.6,0.007076923076923076,Malo
David McCullough,4.7,0.007230769230769231,Malo
David Perlmutter MD,4.6,0.007076923076923076,Malo
David Platt,9.4,0.014461538461538461,Malo
David Zinczenko,8.8,0.01353846153846154,Malo
Deborah Diesen,9.6,0.014769230769230769,Malo
Delegates of the Constitutional???€?,4.8,0.0073846153846153844,Malo
Delia Owens,9.6,0.014769230769230769,Malo
Diana Gabaldon,4.7,0.007230769230769231,Malo
Dinah Bucholz,4.7,0.007230769230769231,Malo
Don Miguel Ruiz,37.6,0.057846153846153846,Malo
Donna Tartt,7.8,0.012,Malo
Doug Lemov,8.8,0.01353846153846154,Malo
Dr. Seuss,48.800000000000004,0.07507692307692308,Malo
Dr. Steven R Gundry MD,8.9,0.013692307692307693,Malo
Drew Daywalt,14.399999999999999,0.022153846153846152,Malo
E L James,25.4,0.03907692307692307,Malo
E. Lockhart,4.5,0.006923076923076923,Malo
Eben Alexander,8.6,0.01323076923076923,Malo
Edward Klein,4.6,0.007076923076923076,Malo
Edward M. Kennedy,4.5,0.006923076923076923,Malo
Elie Wiesel,4.7,0.007230769230769231,Malo
Elizabeth Strout,4.2,0.006461538461538462,Malo
Emily Winfield Martin,24.5,0.03769230769230769,Malo
Eric Carle,44.1,0.06784615384615385,Malo
Eric Larson,4.4,0.00676923076923077,Malo
Erik Larson,4.7,0.007230769230769231,Malo
Ernest Cline,9.2,0.014153846153846152,Malo
F. A. Hayek,4.6,0.007076923076923076,Malo
F. Scott Fitzgerald,13.200000000000001,0.020307692307692308,Malo
Francis Chan,14.100000000000001,0.021692307692307695,Malo
Frank Herbert,4.7,0.007230769230769231,Malo
Fredrik Backman,9.2,0.014153846153846152,Malo
Gallup,36.0,0.055384615384615386,Malo
Garth Stein,9.4,0.014461538461538461,Malo
Gary Chapman,61.7,0.09492307692307693,Malo
Gayle Forman,4.3,0.006615384615384615,Malo
Geneen Roth,4.2,0.006461538461538462,Malo
George Orwell,9.4,0.014461538461538461,Malo
George R. R. Martin,9.100000000000001,0.014000000000000002,Malo
George R.R. Martin,13.799999999999999,0.02123076923076923,Malo
